site_name,latitude,longitude
Watauga,36.32333333,-82.12194444
SHolston,36.52333333,-82.08888889
Boone,36.44,-82.43777778
FtPatrick,36.49777778,-82.50833333
Cherokee,36.16611111,-83.49833333
Douglas,35.96111111,-83.53888889
FtLoudoun,35.79083333,-84.2425
Fontana,35.45222222,-83.80472222
Norris,36.22416667,-84.09138889
MeltonH,35.88527778,-84.3
WattsBar,35.62138889,-84.78138889
Chatuge,35.0175,-83.79111111
Nottely,34.95861111,-84.08777778
Hiwassee,35.15138889,-84.1775
Apalachia,35.16777778,-84.29555556
BlueRidge,34.8825,-84.28
Ocoee3,35.04055556,-84.46666667
Ocoee1,35.09472222,-84.64777778
Chikamauga,35.10388889,-85.22944444
Nikajack,35.00416667,-85.61944444
Guntersville,34.42111111,-86.39305556
TimsFord,35.19694444,-86.27861111
Wheeler,34.80694444,-87.38194444
Wilson,34.80083333,-87.62583333
Pickwick,35.06388889,-88.24722222
Kentucky,37.01305556,-88.26916667
Wilbur,36.34106,-82.12624
