elev,area,storage
1410.0,0.0,0.0
1411.0,0.0,0.0
1412.0,0.0,0.0
1413.0,0.0,0.0
1414.0,0.0,0.0
1415.0,0.0,0.0
1416.0,0.0,0.0
1417.0,0.0,0.0
1418.0,0.0,0.0
1419.0,4.0,0.0
1420.0,44.0,8.0
1421.0,90.0,89.0
1422.0,137.0,189.0
1423.0,241.0,364.0
1424.0,400.0,671.0
1425.0,614.0,1164.0
1426.0,885.0,1900.0
1427.0,1212.0,2935.0
1428.0,1595.0,4325.0
1429.0,2033.0,6125.0
1430.0,2445.0,8392.0
1431.0,2744.0,11016.0
1432.0,3004.0,13880.0
1433.0,3306.0,17025.0
1434.0,3649.0,20493.0
1435.0,4033.0,24323.0
1436.0,4459.0,28559.0
1437.0,4925.0,33241.0
1438.0,5433.0,38410.0
1439.0,5983.0,44108.0
1440.0,6485.0,50377.0
1441.0,6860.0,57079.0
1442.0,7209.0,64097.0
1443.0,7627.0,71498.0
1444.0,8112.0,79351.0
1445.0,8664.0,87722.0
1446.0,9285.0,96680.0
1447.0,9974.0,106293.0
1448.0,10731.0,116629.0
1449.0,11555.0,127755.0
1450.0,12359.0,139740.0
1451.0,13042.0,152473.0
1452.0,13677.0,165824.0
1453.0,14347.0,179827.0
1454.0,15053.0,194518.0
1455.0,15795.0,209933.0
1456.0,16572.0,226108.0
1457.0,17384.0,243077.0
1458.0,18233.0,260877.0
1459.0,19116.0,279543.0
1460.0,19962.0,299110.0
1461.0,20704.0,319468.0
1462.0,21424.0,340519.0
1463.0,22197.0,362316.0
1464.0,23025.0,384914.0
1465.0,23906.0,408366.0
1466.0,24842.0,432727.0
1467.0,25832.0,458051.0
1468.0,26876.0,484392.0
1469.0,27975.0,511804.0
1470.0,29079.0,540342.0
1471.0,30121.0,569962.0
1472.0,31123.0,600585.0
1473.0,32124.0,632209.0
1474.0,33122.0,664833.0
1475.0,34119.0,698454.0
1476.0,35115.0,733072.0
1477.0,36109.0,768684.0
1478.0,37101.0,805290.0
1479.0,38092.0,842887.0
1480.0,39042.0,881474.0
1481.0,39932.0,920972.0
1482.0,40827.0,961338.0
1483.0,41776.0,1002627.0
1484.0,42779.0,1044891.0
1485.0,43835.0,1088185.0
1486.0,44945.0,1132562.0
1487.0,46108.0,1178075.0
1488.0,47325.0,1224779.0
1489.0,48596.0,1272726.0
1490.0,49895.0,1321971.0
1491.0,51168.0,1372516.0
1492.0,52399.0,1424308.0
1493.0,53597.0,1477314.0
1494.0,54764.0,1531503.0
1495.0,55900.0,1586843.0
1496.0,57003.0,1643303.0
1497.0,58075.0,1700850.0
1498.0,59115.0,1759453.0
1499.0,60124.0,1819081.0
1500.0,61082.0,1879701.0
1501.0,62005.0,1941246.0
1502.0,62957.0,2003712.0
1503.0,63971.0,2067161.0
1504.0,65048.0,2131655.0
1505.0,66188.0,2197258.0
1506.0,67390.0,2264032.0
1507.0,68655.0,2332039.0
1508.0,69982.0,2401342.0
1509.0,71372.0,2472004.0
1510.0,72775.0,2544087.0
1511.0,74117.0,2617555.0
1512.0,75410.0,2692321.0
1513.0,76694.0,2768375.0
1514.0,77967.0,2845709.0
1515.0,79231.0,2924310.0
1516.0,80484.0,3004171.0
1517.0,81727.0,3085279.0
1518.0,82961.0,3167626.0
1519.0,84184.0,3251201.0
1520.0,85356.0,3335994.0
1521.0,86461.0,3421913.0
1522.0,87580.0,3508917.0
1523.0,88766.0,3597074.0
1524.0,90018.0,3686449.0
1525.0,91339.0,3777111.0
1526.0,92726.0,3869127.0
1527.0,94179.0,3962563.0
1528.0,95701.0,4057486.0
1529.0,97289.0,4153965.0
1530.0,98802.0,4252065.0
1531.0,100110.0,4351569.0
1532.0,101377.0,4452285.0
1533.0,102752.0,4554323.0
1534.0,104235.0,4657789.0
1535.0,105827.0,4762793.0
1536.0,107526.0,4869443.0
1537.0,109334.0,4977846.0
1538.0,111251.0,5088112.0
1539.0,113276.0,5200349.0
1540.0,115352.0,5314664.0
1541.0,117368.0,5431053.0
1542.0,119299.0,5549401.0
1543.0,121172.0,5669651.0
1544.0,122989.0,5791745.0
1545.0,124749.0,5915629.0
1546.0,126452.0,6041243.0
1547.0,128098.0,6168533.0
1548.0,129688.0,6297440.0
1549.0,131221.0,6427909.0
1550.0,132594.0,6559882.0
1551.0,133791.0,6693097.0
1552.0,135048.0,6827465.0
1553.0,136513.0,6963194.0
1554.0,138184.0,7100491.0
1555.0,140063.0,7239563.0
1556.0,142148.0,7380617.0
1557.0,144441.0,7523860.0
1558.0,146941.0,7669499.0
1559.0,149648.0,7817743.0
1560.0,152181.0,7968796.0
1561.0,154174.0,8122105.0
1562.0,156033.0,8277145.0
1563.0,158147.0,8434171.0
1564.0,160517.0,8593439.0
1565.0,163143.0,8755206.0
1566.0,166023.0,8919725.0
1567.0,169159.0,9087253.0
1568.0,172551.0,9258044.0
1569.0,176198.0,9432355.0
1570.0,179831.0,9610441.0
1571.0,183109.0,9792017.0
1572.0,186201.0,9976660.0
1573.0,189340.0,10164420.0
1574.0,192525.0,10355340.0
1575.0,195760.0,10549470.0
1576.0,199040.0,10746860.0
1577.0,202375.0,10947550.0
1578.0,205755.0,11151610.0
1579.0,209175.0,11359060.0
1580.0,212675.0,11569960.0
1581.0,216215.0,11784410.0
1582.0,219715.0,12002390.0
1583.0,223130.0,12223840.0
1584.0,226450.0,12448650.0
1585.0,229685.0,12676740.0
1586.0,232835.0,12908020.0
1587.0,235895.0,13142410.0
1588.0,238865.0,13379810.0
1589.0,241755.0,13620140.0
1590.0,244405.0,13863320.0
1591.0,246810.0,14108950.0
1592.0,249310.0,14356940.0
1593.0,252105.0,14607570.0
1594.0,255205.0,14861150.0
1595.0,258595.0,15117980.0
1596.0,262285.0,15378340.0
1597.0,266285.0,15642550.0
1598.0,270575.0,15910910.0
1599.0,275160.0,16183700.0
1600.0,279520.0,16461230.0
1601.0,283135.0,16742740.0
1602.0,286555.0,17027500.0
1603.0,290315.0,17315850.0
1604.0,294415.0,17608130.0
1605.0,298850.0,17904680.0
1606.0,303630.0,18205830.0
1607.0,308750.0,18511940.0
1608.0,314205.0,18823330.0
1609.0,320000.0,19140350.0
1610.0,325930.0,19463330.0
1611.0,331635.0,19792210.0
1612.0,337065.0,20126600.0
1613.0,342350.0,20466340.0
1614.0,347505.0,20811300.0
1615.0,352515.0,21161350.0
1616.0,357385.0,21516330.0
1617.0,362120.0,21876120.0
1618.0,366715.0,22240570.0
1619.0,371165.0,22609550.0
1620.0,385585.0,22982900.0
1621.0,385585.0,23380720.0
1622.0,385585.0,23814310.0
1623.0,385585.0,24270350.0
1624.0,385585.0,24735540.0
1625.0,385585.0,25196560.0
1626.0,385585.0,25640110.0
1627.0,385585.0,26052870.0
1628.0,385585.0,26421530.0
1629.0,385585.0,26732790.0
1630.0,385585.0,26973320.0
1631.0,,
1632.0,,
1633.0,,
1634.0,,
1635.0,,
1636.0,,
1637.0,,
1638.0,,
1639.0,,
