,Primary_Purpose
MCPHEE,Fish and Wildlife Pond
LOST CREEK,Irrigation
SILVER JACK,Irrigation
STARVATION,Irrigation
HYRUM,Irrigation
JORDANELLE,Water Supply
MEEKS CABIN,Irrigation
CAUSEY,Irrigation
ECHO,Flood Control
RIDGWAY,Flood Control
DEER CREEK,Irrigation
NAVAJO,Flood Control
LEMON,Fish and Wildlife Pond
FONTENELLE,Fish and Wildlife Pond
FLAMING GORGE,Flood Control
VALLECITO,Fish and Wildlife Pond
TAYLOR PARK,Irrigation
MORROW POINT,Hydroelectric
BLUE MESA,Flood Control
SMITH & MOREHOUSE RESERVOIR,Irrigation
RUEDI RESERVOIR,Hydroelectric
CRYSTAL,Hydroelectric
LAKE POWELL,Hydroelectric
Davis,Hydroelectric
Hoover,Hydroelectric
Parker,Hydroelectric
Navajo,Flood Control
