,depth,mss,mean,median,std,ranks
0,1,0.0,0.25,0.314,1.414,95.33333333333333
1,1,0.01,0.25,0.314,1.414,95.33333333333333
2,1,0.02,0.25,0.314,1.414,95.33333333333333
3,1,0.03,0.25,0.314,1.414,95.33333333333333
4,1,0.04,0.25,0.314,1.414,95.33333333333333
5,1,0.05,0.25,0.314,1.414,95.33333333333333
6,1,0.06,0.25,0.314,1.414,95.33333333333333
7,1,0.07,0.25,0.314,1.414,95.33333333333333
8,1,0.08,0.25,0.314,1.414,95.33333333333333
9,1,0.09,0.25,0.314,1.414,95.33333333333333
10,1,0.1,0.25,0.314,1.414,95.33333333333333
11,1,0.15,0.25,0.314,1.414,95.33333333333333
12,1,0.20,0.25,0.314,1.414,95.33333333333333
13,2,0.0,0.464,0.522,0.539,32.0
14,2,0.01,0.464,0.522,0.539,32.0
15,2,0.02,0.464,0.522,0.539,32.0
16,2,0.03,0.464,0.522,0.539,32.0
17,2,0.04,0.464,0.522,0.539,32.0
18,2,0.05,0.464,0.522,0.539,32.0
19,2,0.06,0.464,0.522,0.539,32.0
20,2,0.07,0.463,0.52,0.538,34.666666666666664
21,2,0.08,0.46,0.52,0.537,35.833333333333336
22,2,0.09,0.459,0.52,0.537,36.333333333333336
23,2,0.1,0.46,0.52,0.538,36.666666666666664
24,2,0.15,0.462,0.52,0.537,35.166666666666664
25,2,0.20,0.489,0.519,0.434,25.0
26,3,0.0,0.414,0.528,0.812,47.166666666666664
27,3,0.01,0.414,0.528,0.812,47.166666666666664
28,3,0.02,0.414,0.528,0.812,47.166666666666664
29,3,0.03,0.411,0.528,0.807,47.5
30,3,0.04,0.395,0.528,0.817,58.666666666666664
31,3,0.05,0.395,0.528,0.817,58.666666666666664
32,3,0.06,0.39,0.511,0.818,68.66666666666667
33,3,0.07,0.366,0.505,0.842,72.33333333333333
34,3,0.08,0.364,0.488,0.842,73.16666666666667
35,3,0.09,0.363,0.488,0.842,73.5
36,3,0.1,0.41,0.514,0.803,54.166666666666664
37,3,0.15,0.412,0.515,0.803,51.666666666666664
38,3,0.20,0.433,0.513,0.761,49.166666666666664
39,4,0.0,0.337,0.449,0.708,69.33333333333333
40,4,0.01,0.344,0.472,0.713,68.33333333333333
41,4,0.02,0.367,0.515,0.707,60.833333333333336
42,4,0.03,0.432,0.579,0.661,32.333333333333336
43,4,0.04,0.346,0.572,0.883,67.33333333333333
44,4,0.05,0.354,0.563,0.876,68.83333333333333
45,4,0.06,0.398,0.596,0.859,56.5
46,4,0.07,0.408,0.577,0.851,49.0
47,4,0.08,0.407,0.577,0.851,50.0
48,4,0.09,0.405,0.577,0.851,51.166666666666664
49,4,0.1,0.454,0.559,0.816,41.5
50,4,0.15,0.37,0.548,1.364,70.0
51,4,0.20,0.433,0.513,0.761,49.166666666666664
52,5,0.0,-0.012,0.481,3.796,97.33333333333333
53,5,0.01,0.499,0.621,0.471,2.0
54,5,0.02,0.488,0.652,0.51,5.333333333333333
55,5,0.03,0.492,0.681,0.491,3.3333333333333335
56,5,0.04,0.463,0.591,0.511,19.833333333333332
57,5,0.05,0.405,0.606,0.859,51.666666666666664
58,5,0.06,0.398,0.596,0.856,55.0
59,5,0.07,0.411,0.606,0.853,41.5
60,5,0.08,0.409,0.606,0.853,43.5
61,5,0.09,0.408,0.606,0.853,45.166666666666664
62,5,0.1,0.463,0.6,0.812,29.333333333333332
63,5,0.15,0.37,0.548,1.364,70.0
64,5,0.20,0.433,0.513,0.761,49.166666666666664
65,6,0.0,0.158,0.54,2.037,84.66666666666667
66,6,0.01,0.416,0.483,0.576,50.0
67,6,0.02,0.478,0.611,0.499,5.833333333333333
68,6,0.03,0.497,0.609,0.476,3.3333333333333335
69,6,0.04,0.462,0.577,0.506,21.666666666666668
70,6,0.05,0.406,0.573,0.851,51.166666666666664
71,6,0.06,0.395,0.595,0.858,57.666666666666664
72,6,0.07,0.411,0.606,0.853,41.5
73,6,0.08,0.409,0.606,0.853,43.5
74,6,0.09,0.408,0.606,0.853,45.166666666666664
75,6,0.1,0.463,0.6,0.812,29.333333333333332
76,6,0.15,0.37,0.548,1.364,70.0
77,6,0.20,0.433,0.513,0.761,49.166666666666664
78,7,0.0,0.128,0.458,1.924,96.66666666666667
79,7,0.01,0.409,0.45,0.596,56.333333333333336
80,7,0.02,0.478,0.563,0.542,24.0
81,7,0.03,0.475,0.566,0.535,19.5
82,7,0.04,0.471,0.571,0.489,16.666666666666668
83,7,0.05,0.405,0.568,0.854,58.166666666666664
84,7,0.06,0.395,0.595,0.858,57.666666666666664
85,7,0.07,0.411,0.606,0.853,41.5
86,7,0.08,0.409,0.606,0.853,43.5
87,7,0.09,0.408,0.606,0.853,45.166666666666664
88,7,0.1,0.463,0.6,0.812,29.333333333333332
89,7,0.15,0.37,0.548,1.364,70.0
90,7,0.20,0.433,0.513,0.761,49.166666666666664
91,8,0.0,-0.08,0.39,2.344,99.33333333333333
92,8,0.01,0.375,0.406,0.595,64.0
93,8,0.02,0.467,0.561,0.551,26.666666666666668
94,8,0.03,0.453,0.566,0.546,31.833333333333332
95,8,0.04,0.47,0.559,0.486,19.5
96,8,0.05,0.405,0.568,0.854,58.166666666666664
97,8,0.06,0.395,0.595,0.858,57.666666666666664
98,8,0.07,0.411,0.606,0.853,41.5
99,8,0.08,0.409,0.606,0.853,43.5
100,8,0.09,0.408,0.606,0.853,45.166666666666664
101,8,0.1,0.463,0.6,0.812,29.333333333333332
102,8,0.15,0.37,0.548,1.364,70.0
103,8,0.20,0.433,0.513,0.761,49.166666666666664
