site_name,1,2,3,4,5,6,7,8
AGR,,,,,,7529,,1519
ALCR,,,,,,5937,,3111
Apalachia,,,,7360,,,,
BLR,,,,,,7341,,1707
BLUE MESA,,,,,,12165,,3271
BON,,,,3298,,,,
BRN,,,,,,3327,,1251
BigBend,,,,,,10529,,5362
BlueRidge,,,,,,5256,,2104
Boone,,,,,5296,,2064,
CCR,,,,,,4314,,4734
CHJ,,,,2483,,,,
CRYSTAL,,,,,6251,,2787,
Chatuge,,,,,,5439,,1921
Cherokee,,,,,5590,,,1770
Chikamauga,,,,7360,,,,
DFR,,,,,,6155,,2893
DILLON RESERVOIR,,,,,,2723,,720
Davis,,,,,,4941,,1185
Douglas,,,,,5540,,,1820
FLAMING GORGE,,,,,,7329,,2401
FONTENELLE,,,,,,6268,,1676
FRR,,,,,,6837,,2211
Fontana,,,,,,5327,,2033
FortPeck,,,,,,12053,,3838
FortRandall,,,,,,10963,,4928
FtLoudoun,,,,7360,,,,
FtPatrick,,7360,,,,,,
GCL,,,,,3212,,,1083
GLER,,,,,,4544,,4504
GRAR,,9048,,,,,,
Garrison,,,,,,14073,,1818
GavinsPoint,,,,,10442,,5449,
Guntersville,,,,7360,,,,
Hiwassee,,,,,5042,,,2318
Hoover,,,,,,1294,,867
IHR,,,,3016,,,,
KORR,,9048,,,,,,
Kentucky,,,,,5658,,1702,
LAKE POWELL,,,,,,12949,,4075
LEMON,,,,,,6131,,1441
LWG,,,,3150,,,,
MEEKS CABIN,,,,,,2104,,498
MORROW POINT,,,,,,9111,,5741
MeltonH,,,,7360,,,,
NAVAJO,,,,,,5089,,1902
Nikajack,,,,7360,,,,
Norris,,,,,,5852,,1508
Nottely,,,,,,5645,,1715
Oahe,,,,,,15000,,891
Ocoee1,,,,,5193,,2167,
Ocoee3,7360,,,,,,,
PATR,,,,,,6292,,2756
PRD,,,4232,,,,,
PTR,,,,,,6932,,2116
Parker,,,,,6124,,,2
Pickwick,,,,7360,,,,
RIDGWAY,,,,,,2560,,804
RIS,2136,,,,,,,
RRH,,,3052,,,,,
RUEDI RESERVOIR,,,,,,4660,,1202
SEMR,,,,,,7347,,1701
SHolston,,,,,,5571,,1789
SILVER JACK,,,,,,1337,,357
STARVATION,,,,,,987,,944
TAYLOR PARK,,,,,,9048,,2428
TimsFord,,,,,,6030,,1330
VALLECITO,,,,,,8419,,2210
WAN,,,2922,,,,,
WCR,,,,,,7021,,2027
WEL,,,3160,,,,,
Watauga,,,,,,5860,,1500
WattsBar,,,,7360,,,,
Wheeler,,,,7360,,,,
Wilbur,7360,,,,,,,
Wilson,,,,7360,,,,
COUNTS,3,3,4,14,10,42,5,47
