,count,mean,std,min,25%,50%,75%,max
BlueRidge,12.0,-0.10128018018127542,2.9446182135570536,-6.76312121825554,-1.3550096893203758,0.3802796687729786,1.2328154822865476,4.99749268196263
Chatuge,12.0,0.20490320183646174,1.6938321072926605,-2.625366151906748,-0.9295952805125367,-0.12418443366178751,1.4962031559415692,2.9932720756212086
Cherokee,12.0,1.1669253449026986,4.372328143092999,-2.665221734280601,-0.7280111801852236,-0.14450315007933417,0.7220272550594433,13.679250350207854
Douglas,12.0,0.7133795495885963,4.0533343446401435,-5.07831920410395,-1.3991997722081355,-0.04521047157056929,2.742536997929484,8.790123180627338
Fontana,12.0,0.1228132816795496,3.256910459336321,-4.883499142937074,-1.8484079139162346,-1.1669747797246368,2.8979982134587883,7.062955787131596
Hiwassee,12.0,0.42094802852452357,3.123019139513569,-3.1654087630136023,-2.0639797212356297,-0.10598544531626032,2.4488342799164657,6.3544561669193005
Norris,12.0,0.021961116208714285,1.9061054965408362,-3.1101915504660305,-1.1070248062227563,0.19569889964312698,0.665253674427629,3.588636481270964
Nottely,12.0,0.18731454596287767,2.08055631899463,-4.473899553667885,-0.8478274963572721,1.205928339059531,1.6653500173168778,2.101058733045268
SHolston,12.0,-0.19591858740556575,2.6702182085245556,-5.934204346888347,-1.7039456584084192,-0.1319728473873828,1.8439915927135755,3.1950787128775318
TimsFord,12.0,3.4052742050959117,11.234837713521069,-12.484763040474293,-3.103140693587168,-0.5618687133988055,7.069106626183169,26.503935144752443
Watauga,12.0,0.4690969819637603,5.443080707232269,-6.579597080451919,-5.2086878986618395,1.435681819233694,4.91567554554323,7.926048139620759
Apalachia,12.0,-0.5325322740815569,2.571985610055633,-5.318246472833002,-2.184108741833372,-0.7864080742060403,1.809195149213164,2.441539571524115
Boone,12.0,0.1935300816955187,6.741908248226303,-11.515418156424053,-4.652530824475578,2.7050687417201846,3.950827419784109,10.896447067054304
Chikamauga,12.0,0.45413601783614393,2.2655304977375192,-2.026641820338588,-1.6633509478762032,0.4103708393244092,2.4580384289335617,3.4557024442670192
FtLoudoun,12.0,0.08582059279128858,1.4932379211961884,-1.6853934789640972,-0.9794957646828152,-0.2936098537608674,0.9853468167509627,3.0064635093422063
FtPatrick,12.0,-0.08609203566935504,1.999874526426129,-3.9511384764328903,-1.3152301661485044,0.19014021223959038,1.3133658910632886,2.7396694001323803
Guntersville,12.0,-0.4058789209300821,1.728089530574176,-2.99070862302624,-1.538403755473527,-0.9381115226188697,0.9442687642928671,2.383175527909494
Kentucky,12.0,0.18131147350851132,3.0427542958229425,-3.5238074111946647,-1.7058935151712384,-0.37731511458357814,1.8830907413196565,5.4526546846363795
MeltonH,12.0,-0.5542697231821059,3.185829836832695,-4.720408198257549,-2.9504749471513225,-0.9901777275497763,2.763328365024732,3.7545521560223403
Nikajack,12.0,-0.5587115146743179,2.614421336518447,-5.232149917385022,-2.552288870887135,-0.22783647227053516,1.833179724331752,2.756320121051603
Ocoee1,12.0,0.36076159958726756,2.5789152051199418,-3.1945188776088242,-2.0038947358442996,0.7736667895371031,2.027914632794618,4.8657225078818955
Ocoee3,12.0,-0.004292643591095056,0.34879121057619894,-0.7535932979501899,-0.2574831903679387,0.05255028106203098,0.1754547726939169,0.5327987291655097
Pickwick,12.0,0.05015985174498644,1.338855197697355,-2.652261350707643,-0.7371932342535026,0.10126710779903066,0.9583871767916017,1.8656754940099132
WattsBar,12.0,0.3228082667820502,1.801206758642679,-2.180962721151695,-1.1851430616803131,0.15633576195895726,1.7848589543734819,2.977230095542214
Wheeler,12.0,0.04509078765678529,1.6004139339349275,-3.5774317684727976,-0.5074744895401965,0.1502437625127679,1.2360505259389525,2.2622542438782256
Wilbur,12.0,0.022780430967896965,0.40926480103136376,-0.511478077525781,-0.24931085183382717,-0.017895379926023948,0.2000910903980367,0.9444843672983354
Wilson,12.0,0.1808162514958985,2.5593718139236996,-2.846254728835547,-1.3236587370747739,-0.45206416159443563,0.6137159496210117,5.916585512024873
